code,en,ar
1,Riyadh,منطقة الرياض
2,Makkah,منطقة مكة المكرمة
3,Madinah,منطقة المدينة المنورة
4,Qassim,منطقة القصيم
5,Eastern Province,المنطقة الشرقية
6,Asir,منطقة عسير
7,Tabuk,منطقة تبوك
8,Hail,منطقة حائل
9,Northern Borders,منطقة الحدود الشمالية
10,Jazan,منطقة جازان
11,Najran,منطقة نجران
12,Bahah,منطقة الباحة
13,Jawf,منطقة الجوف
